identificador_edital_entrega,tipo_entrega,segmento_cultural_entrega,medidas_acessibilidade,cep_local_entrega,publico_alcancado_entrega
Edital-PNAB-2025-008,Caderno / Cartilha / Apostila,Patrimônio Cultural Imaterial,"Iluminação adequada, Assentos para pessoas obesas, Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural, Textos adaptados para leitores de tela",53942-373,1022
Edital-PNAB-2025-011,Desfile,Hip Hop,,,615
Edital-PNAB-2025-002,Livro,Dança,Corrimãos e guarda-corpos,11179080,48
Edital-PNAB-2025-011,Festa Popular,Patrimônio Cultural Material,,59579-472,468
Edital-PNAB-2025-015,Filme de curta-metragem,Festas e Celebrações,"Audiodescrição, Piso tátil, Vagas de estacionamento para pessoas com deficiência, Sistema de sinalização ou comunicação tátil",63920-867,1226
Edital-PNAB-2025-001,Videoclipe / Album visual,Outros,"Linguagem simples, Rotas acessíveis, com espaço de manobra para cadeira de rodas, Sistema Braille, Outra acessibilidade arquitetônica",85627187,828
Edital-PNAB-2025-010,Filme de curta-metragem,Mediação e formação de leitores,"Linguagem simples, Assentos para pessoas obesas",00369-155,588
Edital-PNAB-2025-004,Instalação artística / videoarte,Edição e produção editorial,"Banheiros femininos e masculinos adaptados para pessoas com deficiência, Legendas, Corrimãos e guarda-corpos, Contratação de profissionais com deficiência e profissionais especializados em Acessibilidade cultural",28434-795,1123
Edital-PNAB-2025-004,Festival / Mostra,Moda,Rampas,27636-556,1346
Edital-PNAB-2025-007,Aula / Palestra / Conferência,Outros,Iluminação adequada,,806
Edital-PNAB-2025-014,Congresso / Encontro / Seminário / Simpósio,Hip Hop,"Iluminação adequada, Audiodescrição, Rampas, Linguagem simples",,69
Edital-PNAB-2025-009,Manutenção de grupos / iniciativas / espaços culturais,Design,"Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural",72929-314,112
Edital-PNAB-2025-001,Aplicativo / Software,Circo,"Assentos para pessoas obesas, Corrimãos e guarda-corpos",86632270,3979
Edital-PNAB-2025-015,Audiolivro,Moda,"Iluminação adequada, Sistema Braille, Banheiros femininos e masculinos adaptados para pessoas com deficiência, Contratação de profissionais com deficiência e profissionais especializados em Acessibilidade cultural",,1273
Edital-PNAB-2025-007,Outros (especificar),Artesanato,"Outra acessibilidade arquitetônica, Elevadores adequados para pessoas com deficiência",,1215
Edital-PNAB-2025-004,Ensaio fotográfico,Moda,"Sistema de sinalização ou comunicação tátil, Vagas de estacionamento para pessoas com deficiência, Rampas, Capacitação de equipes atuantes nos projetos culturais",67288574,1444
Edital-PNAB-2025-013,Revista / Jornal / Periódico,Cultura de Matriz Africana,,,647
Edital-PNAB-2025-011,Série / websérie,Performance,Sistema Braille,89061-203,1121
Edital-PNAB-2025-002,Sarau / Slam,Design,,71754-558,1356
